timestamp,session_id,policy,workload,task_clock,context_switches,cpu_migrations,cycles,instructions,branches,branch_misses
1767218075,2025-12-31_A,cfs,burn,10018.92,317,1,23994470976,67179454061,11076280054,586260
1767218085,2025-12-31_A,cfs,burn,10014.52,268,1,24033712526,67212372306,11081679721,574174
1767218095,2025-12-31_A,cfs,burn,10014.06,265,0,24032602895,67014279639,11049027703,566662
1767218105,2025-12-31_A,cfs,burn,10014.13,312,1,24032617822,65862109547,10859169186,575540
1767218115,2025-12-31_A,cfs,burn,10014.12,297,0,24032649962,67289163045,11094423345,571224
1767218125,2025-12-31_A,cfs,burn,10014.43,286,1,24033437643,67235139482,11085521632,571395
1767218135,2025-12-31_A,cfs,burn,10014.91,263,1,24034652524,67398132621,11112376130,568061
1767218145,2025-12-31_A,cfs,burn,10014.62,229,1,24034063680,67350934304,11104595565,570377
1767218155,2025-12-31_A,cfs,burn,10015.17,262,1,24035285204,67279745100,11092863400,569272
1767218165,2025-12-31_A,cfs,burn,10014.49,300,1,24033513652,67229967293,11084669128,568310
1767218175,2025-12-31_A,cfs,burn,10014.79,272,1,24034304462,67353153517,11104964406,568103
1767218185,2025-12-31_A,cfs,burn,10014.29,294,0,24033074655,67259353238,11089514249,564705
1767218195,2025-12-31_A,cfs,burn,10011.69,1313,1,24023148698,67359706267,11106320825,666033
1767218205,2025-12-31_A,cfs,burn,10014.43,276,1,24033453860,67318160318,11099196045,566052
1767218216,2025-12-31_A,cfs,burn,10014.38,273,0,24033368223,67347079631,11103973527,570947
1767218226,2025-12-31_A,cfs,burn,10014.74,265,1,24034221949,67175133329,11075616873,572243
1767218236,2025-12-31_A,cfs,burn,10014.41,306,1,24033328267,67338869597,11102616702,571018
1767218246,2025-12-31_A,cfs,burn,10014.91,309,1,24034485873,67406932841,11113837079,572224
1767218256,2025-12-31_A,cfs,burn,10014.27,294,0,24033003501,67311667671,11098130417,568892
1767218266,2025-12-31_A,cfs,burn,10014.59,264,1,24033899624,67322545875,11099918075,568983
1767218276,2025-12-31_A,cfs,burn,10014.65,224,1,24034125738,67453079386,11121387860,569011
1767218286,2025-12-31_A,cfs,burn,10014.78,262,1,24034317997,66627121272,10985214630,12576915
1767218296,2025-12-31_A,cfs,burn,10015.11,292,1,24034991427,67348779283,11104175596,574768
1767218306,2025-12-31_A,cfs,burn,10013.77,337,1,24031620087,67402824577,11113090329,575506
1767218316,2025-12-31_A,cfs,burn,10016.94,178,1,24039771188,67313907365,11098407717,571762
1767218326,2025-12-31_A,cfs,burn,10014.93,213,1,24034847977,67391128291,11111145553,570571
1767218336,2025-12-31_A,cfs,burn,10014.75,244,0,24034316069,67354994535,11105187984,568962
1767218346,2025-12-31_A,cfs,burn,10014.04,549,1,24031528417,67412192909,11114686008,593166
1767218356,2025-12-31_A,cfs,burn,10014.44,290,0,24033422458,67362958581,11106512677,569939
1767218366,2025-12-31_A,cfs,burn,10014.65,262,1,24034029617,67315914026,11098762388,566998
1767218376,2025-12-31_A,rr,burn,10022.39,229,1,24052598734,67352154033,11104992361,692588
1767218386,2025-12-31_A,rr,burn,10022.39,304,2,24052280832,66483974775,10961902930,699244
1767218396,2025-12-31_A,rr,burn,10022.43,266,2,24052511662,67543426336,11136525948,702822
1767218406,2025-12-31_A,rr,burn,10022.17,296,3,24051792636,67523837320,11133298187,698784
1767218416,2025-12-31_A,rr,burn,10021.92,304,1,24051167911,67461807725,11123080500,695556
1767218427,2025-12-31_A,rr,burn,10022.15,271,2,24051843686,67292670300,11095198714,700797
1767218437,2025-12-31_A,rr,burn,10021.88,342,2,24050946617,67581744104,11142860847,696663
1767218447,2025-12-31_A,rr,burn,10021.95,285,1,24051297321,67455580379,11122045733,702766
1767218457,2025-12-31_A,rr,burn,10021.87,309,2,24051016633,67094576567,11062557322,699516
1767218467,2025-12-31_A,rr,burn,10014.91,1894,4,24028589081,67360778629,11106854739,833576
1767218477,2025-12-31_A,rr,burn,10022.46,293,2,24052505182,67584076167,11143236658,698917
1767218487,2025-12-31_A,rr,burn,10022.07,261,4,24051659701,67528527962,11134119158,696386
1767218497,2025-12-31_A,rr,burn,10021.96,285,2,24051322752,67574656345,11141753903,698028
1767218507,2025-12-31_A,rr,burn,10022.38,245,2,24052496636,67490504535,11127879384,695416
1767218517,2025-12-31_A,rr,burn,10022.16,272,2,24051847181,67259667992,11089826807,700535
1767218527,2025-12-31_A,rr,burn,10022.76,209,2,24053549119,67484953135,11126956922,700378
1767218537,2025-12-31_A,rr,burn,10024.55,268,3,24057613453,67516776717,11132216416,697287
1767218547,2025-12-31_A,rr,burn,10022.58,275,2,24052902499,67506157628,11130457566,695924
1767218557,2025-12-31_A,rr,burn,10022.43,282,2,24052500571,67477449990,11125722853,691443
1767218567,2025-12-31_A,rr,burn,10022.25,270,2,24052115065,67425093855,11117097285,694845
1767218577,2025-12-31_A,rr,burn,10023.21,253,2,24054438687,67509911683,11131072967,694501
1767218587,2025-12-31_A,rr,burn,10022.45,290,2,24052505074,67156780288,11072871968,693650
1767218597,2025-12-31_A,rr,burn,10022.26,297,2,24052021471,67543064973,11136551936,699989
1767218607,2025-12-31_A,rr,burn,10022.56,302,2,24052740810,67559217813,11139210694,693032
1767218618,2025-12-31_A,rr,burn,10022.34,293,3,24052204086,67596428486,11145344557,696324
1767218628,2025-12-31_A,rr,burn,10021.23,583,2,24048456661,67496382741,11128936881,725271
1767218638,2025-12-31_A,rr,burn,10022.21,236,3,24052134642,67521033554,11132900121,691592
1767218648,2025-12-31_A,rr,burn,10025.56,10,2,24061099550,67576966474,11142070612,690313
1767218658,2025-12-31_A,rr,burn,10022.27,310,2,24051997457,67237848195,11086234564,692220
1767218668,2025-12-31_A,rr,burn,10022.67,209,1,24053334314,67468223955,11124191265,690872
1767218678,2025-12-31_A,fifo,burn,10022.15,241,2,24051945450,67499865306,11129416857,696034
1767218688,2025-12-31_A,fifo,burn,10022.54,265,3,24052819592,67550094795,11137699746,692215
1767218698,2025-12-31_A,fifo,burn,10017.81,1341,3,24037554863,67480059715,11126462382,789342
1767218708,2025-12-31_A,fifo,burn,10022.58,271,2,24052892763,66380831525,10944915947,702476
1767218718,2025-12-31_A,fifo,burn,10022.31,319,2,24052065020,67530582593,11134416531,697252
1767218728,2025-12-31_A,fifo,burn,10022.54,220,2,24052987208,67215932277,11082536125,686423
1767218738,2025-12-31_A,fifo,burn,10022.22,270,1,24052028973,67535791609,11135266330,690231
1767218748,2025-12-31_A,fifo,burn,10022.61,277,2,24052962390,67562104997,11139606847,696781
1767218758,2025-12-31_A,fifo,burn,10022.60,238,2,24053080560,67584412373,11143271573,689498
1767218768,2025-12-31_A,fifo,burn,10022.26,749,4,24050346142,65893092284,10864630473,742487
1767218778,2025-12-31_A,fifo,burn,10022.64,267,2,24053046769,67552098496,11137956617,694905
1767218788,2025-12-31_A,fifo,burn,10022.36,222,2,24052552717,67549647409,11137542439,690349
1767218798,2025-12-31_A,fifo,burn,10022.23,250,2,24052156114,67578979529,11142376249,692648
1767218808,2025-12-31_A,fifo,burn,10022.65,201,3,24053344235,67588544183,11143953484,694812
1767218819,2025-12-31_A,fifo,burn,10022.46,249,1,24052671264,67529858619,11134283123,694901
1767218829,2025-12-31_A,fifo,burn,10022.61,198,3,24053243325,67554652073,11138449442,689107
1767218839,2025-12-31_A,fifo,burn,10022.70,223,2,24053354767,67560655325,11139429829,696451
1767218849,2025-12-31_A,fifo,burn,10022.10,293,4,24051671128,67544505529,11136783597,695315
1767218859,2025-12-31_A,fifo,burn,10022.61,199,2,24053235620,67559647122,11139261327,691141
1767218869,2025-12-31_A,fifo,burn,10023.18,302,4,24054222251,67517293654,11132304727,766313
1767218879,2025-12-31_A,fifo,burn,10022.95,181,2,24054077484,67551459881,11137910751,694397
1767218889,2025-12-31_A,fifo,burn,10022.26,196,3,24052368029,67560280172,11139376336,697736
1767218899,2025-12-31_A,fifo,burn,10022.73,356,2,24052904735,67517146769,11132305271,708708
1767218909,2025-12-31_A,fifo,burn,10021.98,396,2,24051015206,67506555831,11130542370,697639
1767218919,2025-12-31_A,fifo,burn,10022.09,293,4,24051645180,67491742713,11128085690,702123
1767218929,2025-12-31_A,fifo,burn,10022.32,310,1,24052122295,67497349307,11129013943,700496
1767218939,2025-12-31_A,fifo,burn,10015.48,1959,2,24029708195,67394230768,11112468453,834016
1767218949,2025-12-31_A,fifo,burn,10013.88,2299,3,24024680311,67437470844,11119606494,866428
1767218959,2025-12-31_A,fifo,burn,10023.83,257,1,24055953139,67538733582,11135753766,698346
1767218969,2025-12-31_A,fifo,burn,10023.19,222,2,24054489809,67360727101,11106411986,694463
1767218979,2025-12-31_A,cfs,pulse,5016.16,91,1,11968661249,33571898902,5537003353,561197
1767218989,2025-12-31_A,cfs,pulse,5015.20,171,0,11935159047,33089223897,5457432401,556350
1767218999,2025-12-31_A,cfs,pulse,5015.23,178,0,11935432801,33497488830,5524866446,563479
1767219010,2025-12-31_A,cfs,pulse,5015.71,291,1,11867469615,33314583765,5494736984,568157
1767219020,2025-12-31_A,cfs,pulse,5015.94,157,1,11937033329,33479771060,5521938443,568124
1767219030,2025-12-31_A,cfs,pulse,5016.16,123,1,11935605306,33466732349,5519781702,556823
1767219040,2025-12-31_A,cfs,pulse,5015.55,212,1,11888311506,33368029775,5503528197,563127
1767219050,2025-12-31_A,cfs,pulse,5015.62,183,1,11936021799,33365937045,5503178436,555172
1767219060,2025-12-31_A,cfs,pulse,5016.08,182,1,11937202169,33385117422,5506345537,559960
1767219070,2025-12-31_A,cfs,pulse,5015.52,131,0,11891330988,33363131866,5502705679,559973
1767219080,2025-12-31_A,cfs,pulse,5017.60,121,0,11941100358,33482229718,5522342714,556875
1767219090,2025-12-31_A,cfs,pulse,5015.99,137,0,11937318023,33352155489,5500903199,554114
1767219100,2025-12-31_A,cfs,pulse,5016.63,162,0,11961204711,33085216383,5456900589,554053
1767219110,2025-12-31_A,cfs,pulse,5021.35,142,1,11917580405,33434139765,5514374918,555812
